TimeStamp,Temperature
10:25:01.218,1080
10:25:04.213,1105
10:25:07.205,1093
10:25:10.198,1074
10:25:13.226,1089
10:25:16.220,1081
10:25:19.214,1108
10:25:22.208,1068
10:25:25.199,1098
10:25:28.221,1081
10:25:31.212,1113
10:25:34.198,1098
10:25:37.219,1095
10:25:40.210,1103
10:25:43.198,1087
10:25:46.223,1111
10:25:49.211,1096
10:25:52.227,1101
10:25:55.217,1106
10:25:58.205,1106
10:26:01.198,1086
10:26:04.224,1090
10:26:07.198,1120
10:26:10.222,1089
10:26:13.214,1112
10:26:16.205,1093
10:26:19.196,1177
10:26:22.221,1111
10:26:25.213,1100
10:26:28.204,1260
10:26:31.197,1083
10:26:34.223,1082
10:26:37.216,1093
10:26:40.205,1101
10:26:43.197,1083
10:26:46.224,1103
10:26:49.216,1088
10:26:52.209,1116
10:26:55.200,1093
10:26:58.226,1102
10:27:01.219,1093
10:27:04.210,1113
10:27:07.201,1095
10:27:10.226,1089
10:27:13.217,1081
10:27:16.209,1082
10:27:19.201,1111
10:27:22.193,1101
10:27:25.219,1115
10:27:28.212,1073
10:27:31.202,1089
10:27:34.196,1110
10:27:37.221,1067
10:27:40.212,1090
10:27:43.200,1087
10:27:46.224,1084
10:27:49.214,1016
10:27:52.204,1097
10:27:55.194,1097
10:27:58.217,1041
10:28:01.208,1079
10:28:04.199,1073
10:28:07.221,1071
10:28:10.212,1095
10:28:13.203,1095
10:28:16.194,1099
10:28:19.217,1069
10:28:22.199,1105
10:28:25.215,1116
10:28:28.201,1093
10:28:31.219,1078
10:28:34.207,1098
10:28:37.194,1110
10:28:40.213,1107
10:28:43.200,1091
10:28:46.222,1089
10:28:49.213,1092
10:28:52.201,1106
10:28:55.192,1090
10:28:58.216,1095
10:29:01.205,1085
10:29:04.196,1090
10:29:07.220,1090
10:29:10.210,1091
10:29:13.199,1078
10:29:16.223,1087
10:29:19.212,1083
10:29:22.202,1092
10:29:25.224,1078
10:29:28.212,1093
10:29:31.200,1103
10:29:34.220,1099
10:29:37.207,1105
10:29:40.195,1089
10:29:43.217,1079
10:29:46.205,1100
10:29:49.191,1090
10:29:52.210,1093
10:29:55.195,1069
10:29:58.213,1087
10:30:01.198,1104
10:30:04.217,1100
10:30:07.204,1099
10:30:10.222,1109
10:30:13.208,1100
10:30:16.195,1070
10:30:19.214,1081
10:30:22.201,1078
10:30:25.221,1099
10:30:28.207,1090
10:30:31.194,1090
10:30:34.213,1106
10:30:37.200,1082
10:30:40.220,1110
10:30:43.206,1102
10:30:46.196,1070
10:30:49.219,1078
10:30:52.210,1090
10:30:55.200,1080
10:30:58.191,1099
10:31:01.214,1095
10:31:04.207,1092
10:31:07.197,1094
10:31:10.221,1079
10:31:13.212,1072
10:31:16.203,1084
10:31:19.195,1074
